CodigoSector,NombreSector,AsignacionVigente,TotalCompromisos,TotalObligaciones,TotalPagos,PorcentajeObligado,Anio
10,PLANEACION,1891479929700,1445120310031.98,227084127634.1,223873511665.57,12.01,2023
11,INFORMACION ESTADISTICA,617325642159,302750984163.82,193338146409.75,185570900519.06,31.32,2023
12,RELACIONES EXTERIORES,1478815197569,873716629123.75,702154231238.4,698976280534.95,47.48,2023
13,HACIENDA,51556918690627,16974646827739,15425676593731.5,15332069366292.4,29.92,2023
14,DEFENSA Y POLICIA,45840236219141,25492476797539.7,21007746671853.3,20827733991492.2,45.83,2023
15,INTERIOR,2874003491035,2046764350557.94,774119687191.77,759263889952.83,26.94,2023
16,"COMERCIO, INDUSTRIA Y TURISMO",1266999363359,920168519871.04,450410450918.09,429309861444.43,35.55,2023
17,ORGANISMOS DE CONTROL,3770746090728,1829425158355.94,1423160294131.34,1349445081856.17,37.74,2023
18,EMPLEO PUBLICO,542555405551,306417753349.82,135758445822.79,128810613108.63,25.02,2023
19,CONGRESO DE LA REPUBLICA,945259289350,576915019788.28,438056182203.27,428582407102.8,46.34,2023
2,EDUCACION,54804819617736,38165352557323.1,31342432449880.1,30232487577961.3,57.19,2023
20,PRESIDENCIA DE LA REPUBLICA,2287512053946,1442726948423.54,258964014123.27,254238070095.52,11.32,2023
21,SERVICIO DE LA DEUDA PUBLICA NACIONAL,72280581197772,47014180116926.8,46878787170254.3,45010988414856.7,64.86,2023
22,REGISTRADURIA,3141370059939,2023661564352.71,995499341329.61,961569749556.04,31.69,2023
24,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",399960584962,302261635025.24,122977144652.48,122166847770.48,30.75,2023
25,RAMA JUDICIAL,6796480084813,3117888959546.28,2677762891700.97,2666897466441,39.4,2023
26,FISCALIA,5774403305511,3195488496358.81,2846308296875.26,2827519173849.65,49.29,2023
27,JUSTICIA Y DEL DERECHO,4237737458957,2095401240966.91,1320098086580.45,1207549942465.6,31.15,2023
29,TRABAJO,37924330343443,10716644475514.2,8894214260161.63,7875582619060.4,23.45,2023
3,AMBIENTE Y DESARROLLO SOSTENIBLE,1407601587028,620367377205.08,404281032412.56,392598747379.88,28.72,2023
30,INCLUSION SOCIAL Y RECONCILIACION,17829240825118,11189295240448.3,7822911175068.69,7715641447846.58,43.88,2023
31,INTELIGENCIA,143829602626,61385610422.28,55688438508.81,51035495093.9,38.72,2023
32,DEPORTE Y RECREACION,946763750815,474087548237.93,141324862051.48,136743137919.48,14.93,2023
33,"VIVIENDA, CIUDAD Y TERRITORIO",6451812005028,4823160618723.51,2481063386294.06,2437586466766.46,38.46,2023
35,"SISTEMA INTEGRAL DE VERDAD, JUSTICIA, REPARACIÓN Y NO REPETICIÓN",725177751364,418486729937.09,253786394725.5,251395387370.49,35,2023
4,CULTURA,701626555640,388507709782.51,256535521744.84,251846697060.99,36.56,2023
5,SALUD Y PROTECCION SOCIAL,50331489367488,30317377295255.6,28144661901386.3,28106360826699.9,55.92,2023
6,AGRICULTURA Y DESARROLLO RURAL,4076232781707,1876589792761.81,975223684074.03,939435930456.99,23.92,2023
7,MINAS Y ENERGIA,7630335792555,5007958583556.29,4824543322586.5,4818268824106.69,63.23,2023
8,TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,2448779431042,1691061476464.82,1100312843241.63,1081573627913.29,44.93,2023
9,TRANSPORTE,14790226523291,9859205873597.58,4081123810546.26,3959746058244.88,27.59,2023
